location_id,name_en,name_th,address,latitude,longitude
L050,Benjakitti Park,สวนเบญจกิติ,"Khlong Toei, Bangkok 10110",13.7307,100.5606
L051,Lumpini Park,สวนลุมพินี,"Pathum Wan, Bangkok 10330",13.7307,100.5418
L052,Victory Monument,อนุสาวรีย์ชัยสมรภูมิ,"Ratchathewi, Bangkok 10400",13.7645,100.5376
L053,Hua Hin Beach,หาดหัวหิน,"Hua Hin, Prachuap Khiri Khan 77110",12.5657,99.9577
L054,Hua Hin Railway Station,สถานีรถไฟหัวหิน,"Hua Hin, Prachuap Khiri Khan 77110",12.571,99.9519
L055,Cicada Market Hua Hin,ซิเคด้า มาร์เก็ต,"Hua Hin, Prachuap Khiri Khan 77110",12.5896,99.9639
L056,Khao Takiab Beach,หาดเขาตะเกียบ,"Nong Kae, Hua Hin 77110",12.5283,99.9833
L057,Mae Hong Son Loop,แม่ฮ่องสอนลูป,Mae Hong Son 58000,19.3017,97.9653
L058,Pai Canyon,ปายแคนยอน,"Pai, Mae Hong Son 58130",19.33,98.4264
L059,Pai Walking Street,ถนนคนเดินปาย,"Pai, Mae Hong Son 58130",19.3586,98.4403
L060,Tham Lod Cave,ถ้ำลอด,"Pang Mapha, Mae Hong Son 58150",19.5122,98.2217
